Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Self-play/ELO,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.7915553,0.12803777,774.35,1198.5681524019556,-32.50099981576204,-32.50099981576204,1.0
20000,1.7915584,0.15767217,1043.2727272727273,1199.038442944984,-41.26363616572185,-41.26363616572185,1.0
30000,1.788435,-0.18638758,854.5833333333334,1199.7005775296998,-28.055832960953314,-28.055832960953314,1.0
40000,1.7859733,-0.22568093,1399.7142857142858,1201.021280974095,-40.89142870849797,-40.89142870849797,1.0
50000,1.7809545,-0.36527035,948.0,1200.8271679679046,-27.42545421794057,-27.42545421794057,1.0
60000,1.7721298,-0.41596252,700.2142857142857,1201.497408503639,-21.996428833476134,-21.996428833476134,1.0
70000,1.7672609,-0.6264224,722.0714285714286,1203.074357889866,-20.492143270160472,-20.492143270160472,1.0
80000,1.7495195,-0.65077347,924.9,1204.43272325062,-22.53600057438016,-22.53600057438016,1.0
90000,1.7359538,-0.7971148,1109.7777777777778,1204.43272325062,-19.272222665862905,-19.272222665862905,1.0
100000,1.7126322,-0.8496383,1001.25,1204.43272325062,-28.873750577680767,-28.873750577680767,1.0
110000,1.7206191,-1.007911,1787.6,1203.537891584269,-51.894000481814146,-51.894000481814146,1.0
120000,1.6932181,-1.0124906,764.3333333333334,1203.9441946421277,-25.077500311347347,-25.077500311347347,1.0
130000,1.7029994,-1.1649055,848.7857142857143,1207.0838637805105,-17.692307556191317,-17.692307556191317,1.0
140000,1.6606966,-1.1898557,379.2083333333333,1208.328244031841,-9.180400026962161,-9.180400026962161,1.0
150000,1.6428698,-1.2405417,566.7368421052631,1208.3282440318408,-12.271052827176295,-12.271052827176295,1.0
160000,1.6168895,-1.2818305,209.0,1208.3282440318412,-3.9151065126854054,-3.9151065126854054,1.0
170000,1.5968045,-1.2855694,198.9591836734694,1208.328244031841,-4.665714384873911,-4.665714384873911,1.0
180000,1.5999395,-1.295578,206.18367346938774,1215.9053200288733,-3.582449064114872,-3.582449064114872,1.0
190000,1.5378333,-1.2478832,92.66666666666667,1221.7194093695712,-1.2718691951899885,-1.2718691951899885,1.0
200000,1.5431869,-1.207085,114.5,1233.2503918636407,-1.7720690074580154,-1.7720690074580154,1.0
210000,1.4559268,-1.1481272,70.51063829787235,1243.2338917807356,-1.5807857592191015,-1.5807857592191015,1.0
220000,1.4763452,-1.0334065,63.11538461538461,1254.5837211992907,-0.8828846485449526,-0.8828846485449526,1.0
230000,1.395052,-0.98108584,47.829268292682926,1265.8329516095785,-0.7836097850486999,-0.7836097850486999,1.0
240000,1.3174982,-0.9051263,37.62403100775194,1265.8386711856488,-0.7034108852751033,-0.7034108852751033,1.0
250000,1.3415844,-0.81609017,39.274193548387096,1277.4542148267753,-0.755967772836166,-0.755967772836166,1.0
260000,1.3120184,-0.69221276,37.298850574712645,1314.6853280838127,-0.532298884657836,-0.532298884657836,1.0
270000,1.3694935,-0.66816694,49.82233502538071,1341.0117507793527,-0.7097462124290502,-0.7097462124290502,1.0
280000,1.1559428,-0.50579864,21.290178571428573,1379.809380176513,-0.36774556688033044,-0.36774556688033044,1.0
290000,1.2709248,-0.5051327,34.26056338028169,1410.5908670080403,-0.46718312010273966,-0.46718312010273966,1.0
300000,0.9781097,-0.4241648,18.02095238095238,1436.1786325191486,-0.49234288192930675,-0.49234288192930675,1.0
310000,0.9503339,-0.3401108,16.65547703180212,1436.2036946635035,-0.4029152155968989,-0.4029152155968989,1.0
320000,0.9149308,-0.26003408,16.53859649122807,1464.1593265525885,-0.1598772121887458,-0.1598772121887458,1.0
330000,0.85027874,-0.33153382,15.724080267558529,1472.9519058504297,-0.2916555315611205,-0.2916555315611205,1.0
340000,0.7640523,-0.25540206,14.768138801261829,1473.007269005355,-0.2887381763676364,-0.2887381763676364,1.0
350000,0.75669897,-0.17905495,14.893650793650794,1473.0072690053548,-0.24233334285635796,-0.24233334285635796,1.0
360000,0.69876635,-0.14776376,14.586583463338533,1473.007269005355,-0.09258971249978182,-0.09258971249978182,1.0
370000,0.87312675,-0.12313681,15.614617940199336,1500.2981309251893,0.28353819594505025,0.28353819594505025,1.0
380000,0.6719096,0.043269604,15.081993569131832,1535.4168564761887,0.07967845160645878,0.07967845160645878,1.0
390000,0.78675824,0.091097705,14.604037267080745,1581.2091538487136,0.35914061939693054,0.35914061939693054,1.0
400000,0.6732918,0.15916154,14.188736681887367,1604.8510461567105,0.21288955824537015,0.21288955824537015,1.0
410000,0.59792584,0.08810443,13.928143712574851,1608.8691956372159,-0.046901197761051845,-0.046901197761051845,1.0
420000,0.5508964,0.124227956,13.892697466467958,1608.9105982382846,0.08269747082371648,0.08269747082371648,1.0
430000,0.56182665,0.14566974,13.953523238380809,1626.9094491417823,-0.0053213768720805025,-0.0053213768720805025,1.0
440000,0.5164663,-0.16805035,14.083459787556905,1616.7934195758532,-0.096030296069203,-0.096030296069203,1.0
450000,0.5721385,0.015177447,14.360248447204969,1624.9491331827458,0.1373953549898872,0.1373953549898872,1.0
460000,0.51019704,0.121933006,13.178217821782178,1640.9980031463674,0.16743988641755078,0.16743988641755078,1.0
470000,0.5061805,0.14065498,15.215909090909092,1667.7717924767167,0.011866884584260452,0.011866884584260452,1.0
480000,0.48285216,0.1596374,17.00900900900901,1670.4283554726935,0.035369371924851394,0.035369371924851394,1.0
490000,0.52614194,0.0683133,14.090634441087614,1674.4872784118525,0.19706948727279272,0.19706948727279272,1.0
500000,0.4259698,0.035066064,14.918789808917197,1688.235200169616,0.01060509892880537,0.01060509892880537,1.0
510000,0.48530713,0.13929538,14.135338345864662,1683.0278424216383,0.125112787942241,0.125112787942241,1.0
520000,0.48158154,0.1306865,15.05654281098546,1691.4225711385834,0.1285622034203833,0.1285622034203833,1.0
530000,0.43289444,0.014949854,18.234615384615385,1695.9173654424608,-0.06780768063707421,-0.06780768063707421,1.0
540000,0.4191751,0.061824232,20.05263157894737,1695.982228770292,0.030084228264658074,0.030084228264658074,1.0
550000,0.42071843,-0.00468303,19.082329317269075,1695.982228770292,-0.06367468522734432,-0.06367468522734432,1.0
560000,0.40910327,-0.055793762,14.848341232227488,1689.4472980169785,-0.0075197466553481645,-0.0075197466553481645,1.0
570000,0.41091362,-0.09527214,20.816192560175054,1679.7602071240892,-0.042253823327287804,-0.042253823327287804,1.0
580000,0.40096942,-0.019660588,19.022044088176354,1695.9179533131735,0.0527054148769092,0.0527054148769092,1.0
590000,0.42086843,0.018483667,15.062600321027288,1705.4954146046414,0.11309791692378625,0.11309791692378625,1.0
600000,0.3879371,-0.019445105,17.654205607476637,1710.1886750211934,-0.036219734053372005,-0.036219734053372005,1.0
610000,0.40773827,0.03262153,16.258680555555557,1710.2915937264586,-0.005147301654881787,-0.005147301654881787,1.0
620000,0.39323503,0.008728264,19.451219512195124,1711.154519232122,0.025763763429676685,0.025763763429676685,1.0
630000,0.3980756,-0.0021564525,17.077617328519857,1711.4344432750568,-0.02045124866041466,-0.02045124866041466,1.0
640000,0.39753935,-0.022870839,15.007961783439491,1709.9658108237281,0.00011147634618601222,0.00011147634618601222,1.0
650000,0.3862798,0.004918249,15.879864636209813,1716.3182512941962,0.09099832162034088,0.09099832162034088,1.0
660000,0.41386172,-0.048260964,14.281200631911533,1720.257150671422,-0.036356464075365275,-0.036356464075365275,1.0
670000,0.39223775,-0.0044880877,14.24924924924925,1720.2674926773159,0.027548876740878685,0.027548876740878685,1.0
680000,0.36961594,-0.0023677049,13.094499294781382,1720.2674926773157,0.13299013138321794,0.13299013138321794,1.0
690000,0.39249,0.06074933,16.64021164021164,1715.3925301627798,-0.018342148584873798,-0.018342148584873798,1.0
700000,0.37452152,-0.012414333,14.830963665086887,1716.3233483929944,0.029289103891423904,0.029289103891423904,1.0
710000,0.3664763,0.049937885,13.610541727672036,1726.0404556236786,0.10616399411052073,0.10616399411052073,1.0
720000,0.35275155,0.016221726,13.210227272727273,1723.6655077136973,0.036292625506493176,0.036292625506493176,1.0
730000,0.3615254,0.03967763,12.868238557558946,1724.7817388543945,0.09811374243354004,0.09811374243354004,1.0
740000,0.38344878,0.04768582,17.141560798548095,1736.8764750748971,0.07823957851707611,0.07823957851707611,1.0
750000,0.3658128,0.04305661,14.01951951951952,1736.0003878007158,0.06028529697352344,0.06028529697352344,1.0
760000,0.36374915,0.030464359,13.056258790436006,1735.9915775789088,0.07060478449538454,0.07060478449538454,1.0
770000,0.36935523,0.008404918,13.588921282798834,1732.8886359352034,0.020597670325037343,0.020597670325037343,1.0
780000,0.37422144,-0.019015348,13.135785007072135,1725.6327811391616,0.009929282435306903,0.009929282435306903,1.0
790000,0.3797004,-0.019690141,13.9625748502994,1717.7091018842243,0.061122756429061204,0.061122756429061204,1.0
800000,0.35272676,-0.012541472,12.960948396094839,1726.0391628677085,0.11912134152576015,0.11912134152576015,1.0
810000,0.35785073,0.07539518,13.37410071942446,1728.9669421370627,0.08258993908655729,0.08258993908655729,1.0
820000,0.36543277,0.033284795,13.68575624082232,1731.9601956694605,-0.014640225231559965,-0.014640225231559965,1.0
830000,0.35705292,0.00711684,12.666666666666666,1731.8893597112851,0.057418043414751686,0.057418043414751686,1.0
840000,0.35477072,0.0005011562,13.9150521609538,1732.7907683501137,0.059180340539503024,0.059180340539503024,1.0
850000,0.35333705,0.011779815,14.689873417721518,1736.3135784799529,0.040900484009941604,0.040900484009941604,1.0
860000,0.3343715,-0.042236734,13.533910533910534,1736.3483391981704,0.060202314674509746,0.060202314674509746,1.0
870000,0.34508166,0.021647308,12.878787878787879,1736.5347960786683,0.05769972614020356,0.05769972614020356,1.0
880000,0.3519921,0.04467763,14.197549770290966,1734.6976058922635,0.04966309214806666,0.04966309214806666,1.0
890000,0.31464368,0.08232255,11.369592088998765,1737.493836509495,0.18475896127439106,0.18475896127439106,1.0
900000,0.34880355,0.027616989,12.709190672153635,1737.5613958713036,0.10727023260747127,0.10727023260747127,1.0
910000,0.38917953,0.009399988,12.87378640776699,1731.139925885354,0.025256597446006477,0.025256597446006477,1.0
920000,0.34211567,-0.014223058,13.284900284900285,1725.7392940031118,0.01974359842447134,0.01974359842447134,1.0
930000,0.3158743,-0.10270562,11.43142144638404,1725.7492210214511,-0.05851620012090688,-0.05851620012090688,1.0
940000,0.33458284,-0.024438152,13.69603524229075,1719.8480869042455,-0.012085159619649252,-0.012085159619649252,1.0
950000,0.31984738,0.109307095,11.626262626262626,1730.9004172463624,0.09460859176128952,0.09460859176128952,1.0
960000,0.35969836,-0.08521178,12.602721088435374,1731.043050968139,0.04757822962845264,0.04757822962845264,1.0
970000,0.27857524,0.08828209,10.847156398104266,1731.043050968139,0.09281990405225075,0.09281990405225075,1.0
980000,0.4063026,-0.0115001835,14.443585780525503,1731.0430509681387,0.06496135786843632,0.06496135786843632,1.0
990000,0.29023987,-0.030605549,11.143203883495145,1721.7901076468474,0.0075364075962779595,0.0075364075962779595,1.0
1000000,0.2915346,0.05039451,12.825726141078839,1723.3928696283308,0.06192254583205754,0.06192254583205754,1.0
1010000,0.27033338,-0.00641584,11.984415584415585,1719.8022855347856,0.01481819222499798,0.01481819222499798,1.0
1020000,0.25858364,0.016246771,10.62253193960511,1721.1218624038643,0.0890940865296243,0.0890940865296243,1.0
1030000,0.3307483,0.027601333,12.560709413369713,1730.6821493875734,0.1323569594027236,0.1323569594027236,1.0
1040000,0.33166343,0.031008119,13.207627118644067,1733.3342259976787,0.10291373147991456,0.10291373147991456,1.0
1050000,0.33539948,0.0034406402,14.945773524720893,1732.7984376153158,0.047910696296600636,0.047910696296600636,1.0
