Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,0.40839136,45.151882,4999.0,16.0,16.0,1.0
20000,0.4111995,45.435204,4999.0,36.5,36.5,1.0
30000,0.04065051,45.027134,4999.0,86.0,86.0,1.0
40000,0.014411334,45.168434,4999.0,71.5,71.5,1.0
50000,0.0076989555,45.157352,4999.0,67.5,67.5,1.0
60000,0.006490908,45.429413,4999.0,90.5,90.5,1.0
70000,0.006163873,43.1002,4999.0,79.0,79.0,1.0
80000,0.0049961624,43.241943,4999.0,67.0,67.0,1.0
90000,0.0038265663,43.233902,4999.0,96.5,96.5,1.0
100000,0.0029870858,43.449604,4999.0,57.0,57.0,1.0
110000,0.0011851578,41.86971,4999.0,107.0,107.0,1.0
120000,0.00093360466,41.235126,4999.0,91.0,91.0,1.0
130000,0.00076655875,40.016735,4999.0,125.0,125.0,1.0
140000,0.00075451616,39.41625,4999.0,91.0,91.0,1.0
150000,0.0006614988,34.413055,4999.0,59.0,59.0,1.0
160000,0.0004885369,32.371418,4999.0,93.0,93.0,1.0
170000,0.0007087676,32.838795,4999.0,87.5,87.5,1.0
180000,0.00038908824,32.30905,4999.0,103.0,103.0,1.0
190000,0.0004702144,31.561718,4999.0,91.5,91.5,1.0
200000,0.00036048496,30.207317,4999.0,68.0,68.0,1.0
210000,0.00034714074,30.841106,4999.0,125.5,125.5,1.0
220000,0.000382624,30.805792,4999.0,81.0,81.0,1.0
230000,0.00040264355,30.108267,4999.0,107.0,107.0,1.0
240000,0.00021061985,29.8927,4999.0,56.0,56.0,1.0
250000,0.00016023494,29.625763,4999.0,96.5,96.5,1.0
260000,0.00014119856,29.35935,4999.0,76.5,76.5,1.0
270000,0.0001854942,29.170904,4999.0,59.0,59.0,1.0
280000,0.00025028057,28.59284,4999.0,64.5,64.5,1.0
290000,0.00019936057,28.856482,4999.0,79.5,79.5,1.0
300000,0.0001983215,28.953726,4999.0,98.0,98.0,1.0
310000,0.00016966455,28.571228,4999.0,91.5,91.5,1.0
320000,0.00016326558,27.914028,4999.0,103.5,103.5,1.0
330000,0.00029157032,27.39206,4999.0,110.0,110.0,1.0
340000,0.00017834303,25.411467,4999.0,97.0,97.0,1.0
350000,9.959891e-05,25.072845,4999.0,71.5,71.5,1.0
360000,6.432734e-05,23.256275,4999.0,71.5,71.5,1.0
370000,0.00014000166,23.20164,4999.0,119.0,119.0,1.0
380000,0.00013659606,19.730947,4999.0,75.5,75.5,1.0
390000,6.800458e-05,20.118618,4999.0,83.5,83.5,1.0
400000,0.0002752932,19.62975,4999.0,84.0,84.0,1.0
410000,0.00015163096,19.573927,4999.0,68.5,68.5,1.0
420000,7.629987e-05,18.604834,4999.0,72.5,72.5,1.0
430000,0.00010585059,18.902206,4999.0,111.5,111.5,1.0
440000,0.00015766354,17.749485,4999.0,69.0,69.0,1.0
450000,0.00010819195,17.384352,4999.0,79.5,79.5,1.0
460000,0.000105388965,16.7366,4999.0,100.5,100.5,1.0
470000,6.385191e-05,16.497345,4999.0,90.5,90.5,1.0
480000,3.665136e-05,16.192257,4999.0,89.5,89.5,1.0
490000,4.5277553e-05,15.92602,4999.0,81.5,81.5,1.0
500000,3.3492324e-05,15.527362,4999.0,89.5,89.5,1.0
510000,6.200753e-05,15.357778,4999.0,109.0,109.0,1.0
520000,0.00010183759,15.021848,4999.0,125.5,125.5,1.0
530000,5.1973922e-05,15.003294,4999.0,102.5,102.5,1.0
540000,4.7387723e-05,14.685657,4999.0,103.0,103.0,1.0
550000,0.00014289285,14.604909,4999.0,82.0,82.0,1.0
560000,7.901974e-05,14.151799,4999.0,80.5,80.5,1.0
570000,0.00011574148,13.851816,4999.0,108.5,108.5,1.0
580000,2.1849964e-05,13.6217375,4999.0,119.5,119.5,1.0
590000,0.00012325172,13.362292,4999.0,109.0,109.0,1.0
600000,7.031368e-05,12.938637,4999.0,106.5,106.5,1.0
610000,6.227055e-05,12.5023775,4999.0,84.5,84.5,1.0
620000,0.00014510709,12.007925,4999.0,75.0,75.0,1.0
630000,0.00014038663,11.4436035,4999.0,73.5,73.5,1.0
640000,3.4187044e-05,11.295622,4999.0,104.5,104.5,1.0
650000,0.00014898245,11.004379,4999.0,75.0,75.0,1.0
660000,5.890219e-05,10.8830185,4999.0,76.5,76.5,1.0
