Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
870000,0.4149152,1.6970596169409227,0.30428436,0.2936893203883495,0.2936893203883495,1.0
880000,0.412331,1.6998650472334682,0.30944064,0.305668016194332,0.305668016194332,1.0
890000,0.44022676,1.8868033496967946,0.33392432,0.28602367889113484,0.28602367889113484,1.0
900000,0.43638572,1.9434795407712688,0.34197322,0.30532666274278986,0.30532666274278986,1.0
910000,0.43492207,1.8304557033682423,0.27728853,0.30087744126804417,0.30087744126804417,1.0
920000,0.42213297,1.709100758396533,0.2744717,0.3066088840736728,0.3066088840736728,1.0
930000,0.46050993,2.004206730769231,0.27781418,0.30078125,0.30078125,1.0
940000,0.46489954,2.269017303297421,0.275223,0.29529872673849167,0.29529872673849167,1.0
950000,0.47258663,2.424065821049023,0.35781875,0.28762427151182723,0.28762427151182723,1.0
960000,0.45524827,2.456273764258555,0.396488,0.32008295886622884,0.32008295886622884,1.0
970000,0.47922847,2.2339256865912764,0.3471578,0.33231017770597737,0.33231017770597737,1.0
980000,0.47038183,2.3017184401850628,0.32246286,0.30079286422200197,0.30079286422200197,1.0
