Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,0.7188354,7.9093333333333335,-10.364013,0.2571174377224199,0.2571174377224199,1.0
20000,0.71219933,8.599038461538461,-10.734264,0.24615384615384617,0.24615384615384617,1.0
30000,0.62489265,8.5727969348659,-9.600669,0.24856321839080459,0.24856321839080459,1.0
40000,0.61720353,9.064386317907445,-9.615952,0.26609657947686116,0.26609657947686116,1.0
50000,0.6747051,7.5754716981132075,-4.1783514,0.2722984562607204,0.2722984562607204,1.0
60000,0.6807507,7.543125533731853,-3.6961248,0.2655849701110162,0.2655849701110162,1.0
70000,0.72682434,5.5504587155963305,-3.1425345,0.29750982961992134,0.29750982961992134,1.0
80000,0.73278105,5.029553679131483,-3.1237206,0.2792521109770808,0.2792521109770808,1.0
90000,0.7745161,4.00600300150075,-2.3469787,0.2831415707853927,0.2831415707853927,1.0
100000,0.7841967,3.8163855421686748,-2.2279344,0.2672289156626506,0.2672289156626506,1.0
110000,0.7735611,3.8614487117160916,-1.4059134,0.30019445794846866,0.30019445794846866,1.0
120000,0.7772169,3.7385125532922787,-1.1400596,0.2811463761250592,0.2811463761250592,1.0
130000,0.7697081,3.699576868829337,-0.79168457,0.2750352609308886,0.2750352609308886,1.0
140000,0.768982,3.641597028783658,-0.65964985,0.29953596287703016,0.29953596287703016,1.0
150000,0.7598893,3.2789901583226357,-0.045510784,0.2798459563543004,0.2798459563543004,1.0
160000,0.7488057,3.14120082815735,0.2525237,0.2919254658385093,0.2919254658385093,1.0
170000,0.7356171,3.235069885641677,0.2821612,0.3062261753494282,0.3062261753494282,1.0
180000,0.72525024,3.154964686331533,0.28745368,0.2899875363523058,0.2899875363523058,1.0
190000,0.7258313,2.9323633503735747,0.2909686,0.2823436885568226,0.2823436885568226,1.0
200000,0.73047286,2.741488963711186,0.30327767,0.29012345679012347,0.29012345679012347,1.0
210000,0.7055903,2.429355281207133,0.2807518,0.2880658436213992,0.2880658436213992,1.0
220000,0.6822945,2.3692722371967654,0.25913393,0.27307951482479786,0.27307951482479786,1.0
230000,0.64442116,2.0775384615384613,0.27911544,0.28584615384615386,0.28584615384615386,1.0
240000,0.6075734,1.8617234468937875,0.29216078,0.2844259948468365,0.2844259948468365,1.0
250000,0.5993596,1.9174686497521143,0.29114017,0.2909011373578303,0.2909011373578303,1.0
