Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Self-play/ELO,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4069216,69.2568,4998.0,1200.0,-280.46000266075134,-280.46000266075134,1.0
20000,1.3969142,70.13978,4998.5,1200.0,-328.7600041581318,-328.7600041581318,1.0
30000,1.3797814,67.21255,4998.5,1200.0,-336.37500259280205,-336.37500259280205,1.0
40000,1.3797803,67.48088,4998.5,1200.0,-390.2300034761429,-390.2300034761429,1.0
50000,1.3533779,64.491745,4998.5,1200.0,-286.70499975048006,-286.70499975048006,1.0
60000,1.3114166,62.50248,4999.0,1200.0,-173.90000142902136,-173.90000142902136,1.0
70000,1.3472569,55.139763,4998.5,1200.0,-227.2800012314692,-227.2800012314692,1.0
80000,1.3513331,54.376453,4998.5,1200.0,-227.10500110965222,-227.10500110965222,1.0
90000,1.3850127,52.930267,4998.5,1200.0,-190.08000206947327,-190.08000206947327,1.0
100000,1.3999809,53.966698,4998.5,1200.25,-256.7450008345768,-256.7450008345768,1.0
110000,1.4005148,53.316772,4998.75,1200.4982021451403,-259.15000212658197,-259.15000212658197,1.0
120000,1.4426872,53.848747,4998.5,1200.4971279807764,-277.2700011730194,-277.2700011730194,1.0
130000,1.4409876,51.12148,4998.5,1200.4971279807764,-254.78500229120255,-254.78500229120255,1.0
140000,1.4186394,49.477013,4998.5,1200.4967702686836,-250.96000206004828,-250.96000206004828,1.0
150000,1.4477435,45.49116,4998.5,1200.495700219654,-255.8800014257431,-255.8800014257431,1.0
160000,1.4652548,43.73519,4999.0,1200.4957012477505,-274.2500023841858,-274.2500023841858,1.0
170000,1.4208786,40.177135,4998.5,1200.495345590367,-253.07500039599836,-253.07500039599836,1.0
180000,1.4267457,39.35285,4998.5,1200.494280665541,-298.03499900829047,-298.03499900829047,1.0
190000,1.429624,35.658813,4998.5,1200.494280665541,-283.20500004291534,-283.20500004291534,1.0
200000,1.4444634,32.225212,4998.5,1200.494280665541,-262.32999953627586,-262.32999953627586,1.0
210000,1.4485255,30.883703,4998.75,1200.494282714349,-268.61500149965286,-268.61500149965286,1.0
220000,1.4675492,30.605139,4998.5,1200.4942888489793,-256.49000095389783,-256.49000095389783,1.0
230000,1.470527,29.382542,4998.5,1200.4942888489793,-274.5400015115738,-274.5400015115738,1.0
240000,1.4708202,26.862097,4998.5,1200.4942898652819,-216.170001745224,-216.170001745224,1.0
250000,1.4796623,25.973654,4998.5,1200.4942929083393,-176.02000229246914,-176.02000229246914,1.0
260000,1.458595,25.136684,4999.0,1200.4942928907205,-153.38000057265162,-153.38000057265162,1.0
270000,1.4739964,24.631096,4998.5,1200.494292870257,-213.79499995708466,-213.79499995708466,1.0
280000,1.4707903,22.798029,4998.5,1200.4942928587077,-197.05500172171742,-197.05500172171742,1.0
290000,1.4804959,21.900997,4998.5,1200.4942928472083,-214.48499998636544,-214.48499998636544,1.0
300000,1.4841257,21.545288,4998.5,1200.4942928385879,-199.7750016450882,-199.7750016450882,1.0
310000,1.4713849,22.00674,4998.75,1200.4942928357173,-165.63500202447176,-165.63500202447176,1.0
320000,1.4704725,21.778116,4998.5,1200.4942928271214,-147.475001568906,-147.475001568906,1.0
330000,1.4812602,21.10339,4998.5,1200.4942928271798,-156.23000103235245,-156.23000103235245,1.0
340000,1.4797791,19.820995,4998.5,1200.494292827355,-137.08500030823052,-137.08500030823052,1.0
350000,1.4617215,19.995722,4998.5,1200.494292827355,-119.12000101618469,-119.12000101618469,1.0
360000,1.4704516,18.660004,4999.0,1200.4942928273547,-131.5600009970367,-131.5600009970367,1.0
370000,1.467433,18.765812,4998.5,1200.4942928273545,-117.17000137176365,-117.17000137176365,1.0
380000,1.4678575,18.341076,4998.5,1200.4942928273545,-138.70500060450286,-138.70500060450286,1.0
390000,1.4680228,18.267614,4998.5,1200.4942928273545,-145.23000083118677,-145.23000083118677,1.0
400000,1.4654787,14.090204,4998.5,1200.4942928273545,-95.15000097546726,-95.15000097546726,1.0
410000,1.456611,14.309448,4998.75,1200.4942928273545,-107.76000116020441,-107.76000116020441,1.0
420000,1.434573,13.343771,4998.5,1200.4942928273545,-97.61000144761056,-97.61000144761056,1.0
430000,1.4400647,13.216314,4998.5,1200.4942928273545,-80.67000136617571,-80.67000136617571,1.0
440000,1.3965575,12.422383,4998.5,1200.4942928273545,-88.92500207480043,-88.92500207480043,1.0
450000,1.3901147,12.327194,4998.5,1200.4942928273545,-62.585000988096,-62.585000988096,1.0
460000,1.3970711,8.979371,4999.0,1200.4942928273545,-37.23000090941787,-37.23000090941787,1.0
470000,1.2994986,8.622783,4998.5,1200.4942928273545,-48.525001098401845,-48.525001098401845,1.0
480000,1.2913111,8.210597,4998.5,1200.4942928273545,-34.23000087030232,-34.23000087030232,1.0
490000,1.2882714,8.096273,4998.5,1200.4942928273545,-24.620000704191625,-24.620000704191625,1.0
500000,1.1507791,7.653549,4998.5,1200.4942928273545,-23.355000462383032,-23.355000462383032,1.0
510000,1.0653616,7.633649,4998.75,1200.4942928273545,-18.25000049173832,-18.25000049173832,1.0
520000,1.0520295,7.1773615,4998.5,1200.4942928273545,-21.765000481158495,-21.765000481158495,1.0
530000,1.0354685,7.0000525,4998.5,1200.4942928273545,-27.015000412240624,-27.015000412240624,1.0
540000,1.0008672,6.251773,4998.5,1200.4942928273545,-22.61500039603561,-22.61500039603561,1.0
550000,0.94741684,5.8433003,4998.5,1200.4942928273545,-17.18000026512891,-17.18000026512891,1.0
560000,0.91057914,4.8071237,4999.0,1200.4942928273545,-5.3400001265108585,-5.3400001265108585,1.0
570000,0.8463971,4.2368484,4998.5,1200.4942928273545,-4.335000085644424,-4.335000085644424,1.0
580000,0.88537914,3.98593,4998.5,1200.4942928273545,-7.460000126622617,-7.460000126622617,1.0
590000,0.89940715,3.8233528,4998.5,1200.4942928273545,-4.4650001199916005,-4.4650001199916005,1.0
600000,0.8416154,3.6772873,4998.5,1200.4942928273545,-5.520000076852739,-5.520000076852739,1.0
610000,0.79622924,3.6634517,4998.75,1200.4942928273545,-7.115000064484775,-7.115000064484775,1.0
620000,0.81033444,3.4997268,4998.5,1200.4942928273545,-15.155000110156834,-15.155000110156834,1.0
630000,0.89304143,3.220736,4998.5,1200.4942928273545,-20.71000013500452,-20.71000013500452,1.0
640000,0.89010805,2.965259,4998.5,1200.4942928273545,-21.700000104494393,-21.700000104494393,1.0
650000,0.80746096,2.597943,4998.5,1200.4942928273545,-6.29000002797693,-6.29000002797693,1.0
660000,0.7753479,2.3240016,4999.0,1200.4942928273545,-1.7600000239908695,-1.7600000239908695,1.0
670000,0.75334567,1.9918718,4998.5,1200.4942928273545,-0.7150000156834722,-0.7150000156834722,1.0
680000,0.7111687,1.8665943,4998.5,1200.4942928273545,-1.265000014565885,-1.265000014565885,1.0
690000,0.68831575,1.6259705,4998.5,1200.4942928273545,-0.760000005364418,-0.760000005364418,1.0
700000,0.6695923,1.5768391,4998.5,1200.4942928273545,-0.7350000105798244,-0.7350000105798244,1.0
710000,0.66859496,1.4774414,4998.75,1200.4942928273545,-2.7250000201165676,-2.7250000201165676,1.0
720000,0.6576935,1.4310226,4998.5,1200.4942928273545,-7.725000085309148,-7.725000085309148,1.0
730000,0.60235566,1.3312498,4998.5,1200.4942928273545,-3.235000029206276,-3.235000029206276,1.0
740000,0.5906792,1.2359896,4998.5,1200.4942928273545,-7.810000027529895,-7.810000027529895,1.0
750000,0.56908625,1.0354553,4998.5,1200.4942928273545,-3.720000038854778,-3.720000038854778,1.0
760000,0.557097,0.9756384,4999.0,1200.4942928273545,-0.7900000140070915,-0.7900000140070915,1.0
770000,0.5446717,0.79999536,4998.5,1200.4942928273545,0.2849999936297536,0.2849999936297536,1.0
780000,0.54504514,0.78217936,4998.5,1200.4942928273545,-0.210000011138618,-0.210000011138618,1.0
790000,0.6080579,0.8308123,4998.5,1200.4942928273545,0.42499999050050974,0.42499999050050974,1.0
800000,0.5885894,0.6858174,4998.5,1200.4942928273545,0.5049999887123704,0.5049999887123704,1.0
810000,0.57288015,0.8016418,4998.75,1200.4942928273545,-1.025000057183206,-1.025000057183206,1.0
820000,0.5768279,0.8342762,4998.5,1200.7442928273545,-7.0050001395866275,-7.0050001395866275,1.0
830000,0.5842484,1.0803092,4998.5,1200.9928537156452,-2.0150000546127558,-2.0150000546127558,1.0
840000,0.55944234,0.90834254,4998.5,1200.9924949724948,-0.5500000193715096,-0.5500000193715096,1.0
850000,0.50726026,0.51391757,4998.5,1200.9921362293444,-2.1100000450387597,-2.1100000450387597,1.0
860000,0.56783503,0.3021837,4999.0,1200.9921362293444,0.24999999441206455,0.24999999441206455,1.0
870000,0.5559956,0.43303734,4998.5,1200.9921362293444,-0.6050000321120024,-0.6050000321120024,1.0
880000,0.63340545,0.4363319,4998.5,1200.9921362293444,-0.6200000420212746,-0.6200000420212746,1.0
890000,0.531602,0.16104952,4998.5,1200.9921362293444,0.23999999463558197,0.23999999463558197,1.0
900000,0.62024105,0.31053308,4998.5,1200.9921362293444,0.25999999418854713,0.25999999418854713,1.0
910000,0.7964886,3.2007217,4998.75,1200.9921362293444,-11.765000245533884,-11.765000245533884,1.0
920000,0.73717076,1.1082404,4998.5,1200.9921362293444,-26.170000423677266,-26.170000423677266,1.0
930000,0.83280206,2.1580849,4998.5,1200.9921362293444,-19.035000221803784,-19.035000221803784,1.0
940000,0.84578323,2.5101895,4998.5,1200.9921362293444,-42.23500036355108,-42.23500036355108,1.0
950000,0.71803707,2.7114618,4998.5,1200.9921362293444,-20.395000266842544,-20.395000266842544,1.0
960000,0.8864819,2.0163307,4999.0,1200.9921362293444,-10.350000144913793,-10.350000144913793,1.0
970000,0.7233992,3.8280036,4998.5,1200.9921362293444,-24.38500050548464,-24.38500050548464,1.0
980000,0.8776485,1.5607468,4998.5,1200.9921362293444,-3.3400000697001815,-3.3400000697001815,1.0
990000,0.5576051,-2.7745376,4998.5,1200.9921362293444,0.14499999675899744,0.14499999675899744,1.0
1000000,0.62255824,-4.353513,4998.5,1200.9921362293444,-0.5,-0.5,1.0
